Time (s),Thermistor,Conductive Band
0.0,0,4029
0.1,0,4021
0.2,0,4019
0.30000000000000004,54,4023
0.4,359,4023
0.5,585,4023
0.6000000000000001,755,4023
0.7000000000000001,895,4025
0.8,1002,4021
0.9,1074,4023
1.0,1147,0
1.1,1215,0
1.2000000000000002,1277,0
1.3,1329,0
1.4000000000000001,1376,0
1.5,1416,0
1.6,1450,0
1.7000000000000002,1477,0
1.8,1514,0
1.9000000000000001,1540,0
2.0,1554,0
2.1,1524,4023
2.2,1442,4025
2.3000000000000003,1312,4023
2.4000000000000004,1170,4021
2.5,1018,4019
2.6,872,4029
2.7,725,4023
2.8000000000000003,588,4023
2.9000000000000004,446,4023
3.0,312,4031
3.1,177,4025
3.2,43,4023
3.3000000000000003,0,4023
3.4000000000000004,0,4023
3.5,0,4027
3.6,0,4021
3.7,0,4021
3.8000000000000003,121,4025
3.9000000000000004,473,0
4.0,750,0
4.1000000000000005,948,0
4.2,1104,0
4.3,1224,0
4.4,1323,0
4.5,1407,0
4.6000000000000005,1466,0
4.7,1515,0
4.800000000000001,1559,0
4.9,1599,0
5.0,1643,0
5.1000000000000005,1664,0
5.2,1688,0
5.300000000000001,1705,0
5.4,1715,0
5.5,1694,0
5.6000000000000005,1599,4023
5.7,1463,4025
5.800000000000001,1302,4021
5.9,1127,4019
6.0,954,4021
6.1000000000000005,792,4023
6.2,625,4023
6.300000000000001,475,4025
6.4,329,4021
6.5,200,4023
6.6000000000000005,62,4021
6.7,0,4025
6.800000000000001,0,4023
6.9,0,4043
7.0,0,4023
7.1000000000000005,161,4021
7.2,520,4021
7.300000000000001,787,0
7.4,1000,0
7.5,1156,0
7.6000000000000005,1283,0
7.7,1386,0
7.800000000000001,1457,0
7.9,1516,0
8.0,1570,0
8.1,1604,0
8.200000000000001,1642,0
8.3,1639,4027
8.4,1655,4023
8.5,1593,4023
8.6,1476,4023
8.700000000000001,1323,4025
8.8,1165,4023
8.9,995,4017
9.0,843,4027
9.1,693,4021
