Time (s),Thermistor,Conductive Band
0.0,1546,4023
0.1,1386,4025
0.2,1232,4021
0.30000000000000004,1054,4025
0.4,897,4023
0.5,731,4027
0.6000000000000001,571,4025
0.7000000000000001,422,4023
0.8,288,4025
0.9,159,4023
1.0,52,4021
1.1,0,4021
1.2000000000000002,0,4021
1.3,0,4023
1.4000000000000001,0,4021
1.5,0,4021
1.6,0,4019
1.7000000000000002,0,4021
1.8,0,4021
1.9000000000000001,0,4017
2.0,0,4023
2.1,0,0
2.2,0,0
2.3000000000000003,0,0
2.4000000000000004,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8000000000000003,0,0
2.9000000000000004,0,0
3.0,0,0
3.1,77,0
3.2,402,0
3.3000000000000003,693,0
3.4000000000000004,941,0
3.5,1144,0
3.6,1344,0
3.7,1496,0
3.8000000000000003,1640,0
3.9000000000000004,1758,0
4.0,1860,0
4.1000000000000005,1956,0
4.2,2028,0
4.3,2103,0
4.4,2173,0
4.5,2226,0
4.6000000000000005,2277,0
4.7,2314,0
4.800000000000001,2357,0
4.9,2388,0
5.0,2425,0
5.1000000000000005,2455,0
5.2,2478,0
5.300000000000001,2504,0
5.4,2522,0
5.5,2544,0
5.6000000000000005,2558,0
5.7,2568,0
5.800000000000001,2579,0
5.9,2584,0
6.0,2597,0
6.1000000000000005,2605,0
6.2,2612,0
6.300000000000001,2618,0
6.4,2619,0
6.5,2617,0
6.6000000000000005,2622,0
6.7,2623,0
6.800000000000001,2619,0
6.9,2617,0
7.0,2616,0
7.1000000000000005,2609,0
7.2,2598,0
7.300000000000001,2577,0
7.4,2562,0
7.5,2548,0
7.6000000000000005,2540,0
7.7,2527,0
7.800000000000001,2522,0
7.9,2509,0
8.0,2498,0
8.1,2487,0
8.200000000000001,2476,0
8.3,2463,0
8.4,2446,0
8.5,2407,0
8.6,2373,0
8.700000000000001,2352,0
8.8,2326,0
8.9,2293,0
9.0,2250,0
9.1,2200,0
9.200000000000001,2116,0
9.3,2012,0
9.4,1892,0
9.5,1771,0
9.600000000000001,1642,4021
9.700000000000001,1512,4023
9.8,1377,4039
9.9,1259,4021
10.0,1118,4025
10.100000000000001,988,4023
10.200000000000001,857,4025
10.3,737,4023
10.4,622,4027
10.5,496,4023
10.600000000000001,378,4025
10.700000000000001,269,4023
10.8,166,4023
10.9,72,4023
11.0,0,4025
11.100000000000001,0,4023
11.200000000000001,0,4023
11.3,0,4019
11.4,0,4023
11.5,0,4021
11.600000000000001,0,4023
11.700000000000001,0,4021
11.8,0,4021
11.9,0,4025
12.0,0,4025
12.100000000000001,0,4021
12.200000000000001,0,4021
12.3,0,4021
12.4,0,4023
12.5,0,4021
12.600000000000001,0,4021
12.700000000000001,0,4021
12.8,0,0
12.9,0,0
13.0,188,0
13.100000000000001,553,0
13.200000000000001,871,0
13.3,1143,0
13.4,1389,0
13.5,1602,0
13.600000000000001,1769,0
13.700000000000001,1916,0
13.8,2047,0
13.9,2160,0
14.0,2258,0
14.100000000000001,2348,0
14.200000000000001,2419,0
14.3,2481,0
14.4,2530,0
14.5,2580,0
14.600000000000001,2618,0
14.700000000000001,2654,0
14.8,2683,0
14.9,2710,0
15.0,2731,0
15.100000000000001,2752,0
15.200000000000001,2768,0
15.3,2774,0
15.4,2785,0
15.5,2791,0
15.600000000000001,2797,0
15.700000000000001,2801,0
15.8,2800,0
15.9,2798,0
16.0,2792,0
16.1,2779,0
16.2,2776,0
16.3,2771,0
16.400000000000002,2767,0
16.5,2762,0
16.6,2757,0
16.7,2753,0
16.8,2756,0
16.900000000000002,2746,0
17.0,2750,0
17.1,2748,0
17.2,2754,0
17.3,2743,0
17.400000000000002,2736,0
17.5,2728,0
17.6,2724,0
17.7,2709,0
17.8,2693,0
17.900000000000002,2676,0
18.0,2663,0
18.1,2650,0
18.2,2630,0
18.3,2613,0
18.400000000000002,2599,0
18.5,2580,0
18.6,2563,0
18.7,2553,0
18.8,2536,0
18.900000000000002,2473,4027
19.0,2373,4023
19.1,2253,4027
19.200000000000003,2123,4025
19.3,1981,4025
19.400000000000002,1840,4025
19.5,1696,4023
19.6,1552,4035
19.700000000000003,1419,4025
19.8,1267,4021
19.900000000000002,1131,4025
20.0,993,4025
20.1,861,4025
20.200000000000003,730,4023
20.3,603,4025
20.400000000000002,489,4023
20.5,370,4025
20.6,256,4025
20.700000000000003,146,4023
20.8,43,4023
20.900000000000002,0,4023
21.0,0,4023
21.1,0,4023
21.200000000000003,0,4025
21.3,0,4021
21.400000000000002,0,4023
21.5,0,4021
21.6,0,4021
21.700000000000003,0,4025
21.8,0,4023
21.900000000000002,0,4021
22.0,0,4023
22.1,0,4023
22.200000000000003,0,4021
22.3,0,4017
22.400000000000002,0,4025
22.5,0,4027
22.6,0,4021
22.700000000000003,0,4025
22.8,0,4023
22.900000000000002,0,4021
23.0,200,4027
23.1,572,4025
23.200000000000003,898,4025
23.3,1175,4029
23.400000000000002,1419,0
23.5,1625,0
23.6,1797,0
23.700000000000003,1944,0
23.8,2076,0
23.900000000000002,2194,0
24.0,2297,0
24.1,2377,0
24.200000000000003,2451,0
24.3,2514,0
24.400000000000002,2566,0
24.5,2611,0
24.6,2652,0
24.700000000000003,2678,0
24.8,2706,0
24.900000000000002,2727,0
25.0,2747,0
25.1,2762,0
25.200000000000003,2779,0
25.3,2789,0
25.400000000000002,2791,0
25.5,2797,0
25.6,2801,0
25.700000000000003,2795,0
25.8,2791,0
25.900000000000002,2789,0
26.0,2785,0
26.1,2780,0
26.200000000000003,2766,0
26.3,2760,0
26.400000000000002,2760,0
26.5,2749,0
26.6,2740,0
26.700000000000003,2729,0
26.8,2715,0
26.900000000000002,2701,0
27.0,2682,0
27.1,2667,0
27.200000000000003,2651,0
27.3,2634,0
27.400000000000002,2618,0
27.5,2603,0
27.6,2590,0
27.700000000000003,2584,0
27.8,2568,0
27.900000000000002,2551,0
28.0,2538,0
28.1,2527,0
28.200000000000003,2512,0
28.3,2494,0
28.400000000000002,2491,0
28.5,2478,0
28.6,2464,0
28.700000000000003,2427,0
28.8,2344,4025
28.900000000000002,2238,4029
29.0,2104,4027
29.1,1961,4023
29.200000000000003,1817,4023
29.3,1677,4027
29.400000000000002,1535,4023
29.5,1388,4027
29.6,1256,4027
29.700000000000003,1107,4025
29.8,975,4025
29.900000000000002,842,4025
30.0,707,4027
30.1,576,4027
30.200000000000003,462,4025
30.3,339,4037
30.400000000000002,220,4025
30.5,112,4023
30.6,7,4019
30.700000000000003,0,4025
30.8,0,4025
30.900000000000002,0,4023
31.0,0,4025
31.1,0,4025
31.200000000000003,0,4031
31.3,0,4023
31.400000000000002,0,4019
31.5,0,4023
31.6,0,4025
31.700000000000003,0,4019
31.8,0,4023
31.900000000000002,0,4023
32.0,0,4023
32.1,0,4021
32.2,0,4023
32.300000000000004,0,4023
32.4,0,4023
32.5,0,4025
32.6,0,4021
32.7,232,4023
32.800000000000004,566,4025
32.9,840,4023
33.0,1069,4021
33.1,1271,0
33.2,1457,0
33.300000000000004,1613,0
33.4,1749,0
33.5,1863,0
33.6,1968,0
33.7,2047,0
33.800000000000004,2121,0
33.9,2179,0
34.0,2232,0
34.1,2282,0
34.2,2325,0
34.300000000000004,2368,0
34.4,2409,0
34.5,2437,0
34.6,2476,0
34.7,2474,0
34.800000000000004,2486,0
34.9,2496,0
35.0,2501,0
35.1,2505,0
35.2,2510,0
35.300000000000004,2517,0
35.4,2513,0
35.5,2516,0
35.6,2514,0
35.7,2508,0
35.800000000000004,2505,0
35.9,2499,0
36.0,2491,0
36.1,2477,0
36.2,2467,0
36.300000000000004,2448,0
36.4,2432,0
36.5,2424,0
36.6,2407,0
36.7,2394,0
36.800000000000004,2381,0
36.9,2365,0
37.0,2350,0
37.1,2335,0
37.2,2324,0
37.300000000000004,2313,0
37.4,2299,0
37.5,2285,0
37.6,2280,0
37.7,2270,0
37.800000000000004,2265,0
37.9,2258,0
38.0,2247,0
38.1,2235,0
38.2,2239,0
38.300000000000004,2212,0
38.400000000000006,2202,0
38.5,2192,0
38.6,2187,0
38.7,2137,0
38.800000000000004,2056,4025
38.900000000000006,1939,4023
39.0,1815,4029
39.1,1681,4021
39.2,1549,4023
39.300000000000004,1407,4025
39.400000000000006,1270,4023
39.5,1136,4027
39.6,1003,4023
39.7,871,4025
39.800000000000004,742,4025
39.900000000000006,612,4023
40.0,497,4029
40.1,378,4023
40.2,265,4027
40.300000000000004,152,4021
40.400000000000006,43,4025
40.5,0,4021
40.6,0,4023
40.7,0,4023
40.800000000000004,0,4016
40.900000000000006,0,4013
41.0,0,4023
41.1,0,4021
41.2,0,3999
41.300000000000004,0,4023
41.400000000000006,0,4021
41.5,0,4021
41.6,0,4025
41.7,0,4021
41.800000000000004,0,4021
41.900000000000006,0,4021
42.0,0,4023
42.1,0,4027
42.2,0,4023
42.300000000000004,0,4021
42.400000000000006,0,4025
42.5,0,4023
42.6,0,4023
42.7,198,4023
42.800000000000004,540,4031
42.900000000000006,805,4025
43.0,1041,0
43.1,1242,0
43.2,1422,0
43.300000000000004,1582,0
43.400000000000006,1730,0
43.5,1860,0
43.6,1970,0
43.7,2068,0
43.800000000000004,2154,0
43.900000000000006,2227,0
44.0,2288,0
44.1,2337,0
44.2,2378,0
44.300000000000004,2416,0
44.400000000000006,2442,0
44.5,2468,0
44.6,2484,0
44.7,2503,0
44.800000000000004,2519,0
44.900000000000006,2548,0
45.0,2570,0
45.1,2594,0
45.2,2599,0
45.300000000000004,2612,0
45.400000000000006,2623,0
45.5,2627,0
45.6,2628,0
45.7,2630,0
45.800000000000004,2631,0
45.900000000000006,2631,0
46.0,2625,0
46.1,2623,0
46.2,2614,0
46.300000000000004,2608,0
46.400000000000006,2600,0
46.5,2589,0
46.6,2586,0
46.7,2560,0
46.800000000000004,2543,0
46.900000000000006,2528,0
47.0,2512,0
47.1,2495,0
47.2,2477,0
47.300000000000004,2461,0
47.400000000000006,2448,0
47.5,2433,0
47.6,2420,0
47.7,2409,0
47.800000000000004,2396,0
47.900000000000006,2384,0
48.0,2369,0
48.1,2352,0
48.2,2341,0
48.300000000000004,2329,0
48.400000000000006,2305,0
48.5,2255,0
48.6,2186,4025
48.7,2084,4025
48.800000000000004,1958,4071
48.900000000000006,1816,4025
49.0,1680,4021
49.1,1531,4025
49.2,1387,4027
49.300000000000004,1243,4031
49.400000000000006,1099,4023
49.5,957,4023
49.6,821,4023
49.7,688,4023
49.800000000000004,552,4025
49.900000000000006,424,4019
