Time (s),Thermistor,Conductive Band
0.0,1546,0
0.1,1546,0
0.2,1537,0
0.30000000000000004,1538,274
0.4,1549,40
0.5,1531,296
0.6000000000000001,1540,474
0.7000000000000001,1572,1245
0.8,1592,741
0.9,1620,528
1.0,1645,918
1.1,1626,1817
1.2000000000000002,1538,2325
1.3,1360,2397
1.4000000000000001,1172,2452
1.5,1002,1963
1.6,871,1209
1.7000000000000002,977,1328
1.8,1186,1276
1.9000000000000001,1353,1061
2.0,1480,1195
2.1,1560,1153
2.2,1605,2043
2.3000000000000003,1550,2151
2.4000000000000004,1388,2709
2.5,1197,2585
2.6,1010,2489
2.7,837,1397
2.8000000000000003,839,1931
2.9000000000000004,1056,1387
3.0,1251,1413
3.1,1391,1305
3.2,1486,1360
3.3000000000000003,1548,1767
3.4000000000000004,1495,2153
3.5,1335,2207
3.6,1136,2347
3.7,960,1833
3.8000000000000003,848,1409
3.9000000000000004,1003,1281
4.0,1204,1113
4.1000000000000005,1355,1191
4.2,1467,1043
4.3,1538,1399
4.4,1561,2123
4.5,1452,2115
4.6000000000000005,1278,2307
4.7,1094,2699
4.800000000000001,922,1920
4.9,944,1445
5.0,1115,1815
5.1000000000000005,1283,1415
5.2,1397,1028
5.300000000000001,1468,1253
5.4,1529,1795
5.5,1548,2315
5.6000000000000005,1461,2627
5.7,1278,2819
5.800000000000001,1088,2841
5.9,926,2481
6.0,845,1983
6.1000000000000005,1006,2109
6.2,1173,1909
6.300000000000001,1322,1833
6.4,1419,1645
6.5,1491,2096
6.6000000000000005,1499,2309
6.7,1375,3005
6.800000000000001,1208,2867
6.9,1033,2513
7.0,884,2189
7.1000000000000005,924,1893
7.2,1096,1644
7.300000000000001,1258,1881
7.4,1363,1611
7.5,1445,1703
7.6000000000000005,1505,2015
7.7,1477,2371
7.800000000000001,1323,2911
7.9,1151,2687
8.0,989,2093
8.1,887,1889
8.200000000000001,1016,1589
8.3,1189,1359
8.4,1331,1329
8.5,1422,1587
8.6,1503,1261
8.700000000000001,1552,1365
8.8,1527,2067
8.9,1391,2447
9.0,1216,3107
9.1,1049,2491
9.200000000000001,900,2367
9.3,894,2039
9.4,1063,1693
9.5,1225,1584
9.600000000000001,1360,1349
9.700000000000001,1438,1613
9.8,1506,2115
9.9,1491,2607
